titulo;autor;isbn;paginas;ano;categoria
Não é errado ser feliz;Linda Holmes;9786555601121;304;2020;Ficção Geral
Não é errado ser feliz;Linda Holmes;9786555601138;304;2020;Ficção Geral
A Segunda Vida de Missy;Beth Morrey;9786555600834;304;2020;Ficção Geral
Quarenta e Quatro em Quarentena;Miguel Pinto Guimarães;9786555601329;624;2020;Ficção Geral
Pachinko;Min Jin Lee;9788551006344;528;2020;Ficção Geral
Em Águas Profundas;Patricia Highsmith;9786555600599;304;2020;Ficção Geral
A troca;Beth O'Leary;9786555600070;352;2020;Ficção Geral
O Enigma do Quarto 622;Joël Dicker;9786555600889;526;2020;Ficção Geral
O Desaparecimento de Stephanie Mailer;Joël Dicker;9788551003633;578;2019;Ficção Geral
Misbehaving;Richard H. Thaler;9788551004159;448;2019;Ficção Geral
O verão que mudou minha vida;Jenny Han;9788551004449;240;2019;Ficção Geral
Sem você não é verão;Jenny Han;9788551004463;240;2019;Ficção Geral
Sempre teremos o verão;Jenny Han;9788551004487;256;2019;Ficção Geral
Misbehaving;Richard H. Thaler;9788551004135;448;2019;Ficção Geral
Boy Erased;Garrard Conley;9788551004111;320;2019;Ficção Geral
Boy Erased: Uma verdade anulada;Garrard Conley;9788551004111;320;2019;Ficção Geral
Os prós e os contras de nunca esquecer;Val Emmich;9788551003688;320;2019;Ficção Geral
O Quinto Risco;Michael Lewis;9788551004616;192;2019;Ficção Geral
Holocausto Brasileiro;Daniela Arbex;9788551004630;280;2019;Ficção Geral
Você nasceu para isso;Michelle Sacks;9788551004661;272;2019;Ficção Geral
O construtor de pontes;Markus Zusak;9788551003985;528;2019;Ficção Geral
Nove Desconhecidos;Liane Moriarty;9788551004685;464;2019;Ficção Geral
O Que Aconteceu Com Annie;C.J. Tudor;9788551004753;288;2019;Ficção Geral
As Crônicas de Âmbar;Roger Zezlany;9788551003350;784;2019;Ficção Geral
Os prós e os contras de nunca esquecer;Val Emmich;9788551003695;320;2019;Ficção Geral
Matadouro Cinco;Kurt Vonnegut;9788551004593;288;2019;Ficção Geral
Mundo em Caos;Patrick Ness;9788551004500;480;2019;Ficção Geral
Faça Tempo;Jake Knapp;9788551004807;304;2019;Ficção Geral
O Caso da Mansão Deboën;Edgar Cantero;9788551004067;352;2019;Ficção Geral
Ainda Sou Eu;Jojo Moyes;9788551003718;320;2019;Ficção Geral
Areia Movediça;Malin Persson Giolito;9788551004746;352;2019;Ficção Geral
Box Trilogia Verão: Box com 3 volumes da coleção;Jenny Han;9788551004722;736;2019;Ficção Geral
F*deu Geral: Um Livro Sobre Esperança?;Mark Manson;9788551004906;288;2019;Ficção Geral
A vida não é justa;Andréa Pachá;9788551004777;224;2019;Ficção Geral
Nove Desconhecidos;Liane Moriarty;9788551004685;464;2019;Ficção Geral
Tempo de Luz;Whitney Scharer;9788551004418;384;2019;Ficção Geral
Oblivion Song: Canção do Silêncio;Robert Kirkman;9788551003237;144;2019;Ficção Geral
Só Pode Ser Brincadeira, Sr. Feynman!;Richard Feynman;9788551004845;400;2019;Infantil
Ponti;Sharlene Teo;9788551004203;274;2019;Ficção Geral
Bird Box: Caixa de Pássaros;Josh Malerman;9788551004920;320;2019;Ficção Geral
Black Hammer;Jeff Lemire;9788551004579;136;2019;Ficção Geral
Mister;E.L. James;9788551005156;432;2019;Ficção Geral
A Pena e a Lei;Ariano Suassuna;9788520942864;184;2019;Ficção Geral
O que Aconteceu com Annie;C.J. Tudor;9788551004753;288;2019;Ficção Geral
Why Not;Raquel Landim;9788551004395;432;2019;Ficção Geral
A Loja de Tudo. Jeff Bezos e a Era da Amazon (edição exclusiva Amazon);Brad Stone;9788551004739;400;2019;Ficção Geral
Raízes do Mal;Gwenda Bond;9788551004364;304;2019;Ficção Geral
Um Lugar Bem Longe Daqui;Delia Owens;9788551004869;336;2019;Ficção Geral
O Caso Da Mansão Deboën;Edgar Cantero;9788551004074;0;2019;Ficção Geral
Um Lugar Bem Longe Daqui;Delia Owens;9788551004869;336;2019;Ficção Geral
E se fosse a gente?;Becky Albertalli;9788551004883;352;2019;Ficção Geral
Bird Box : Caixa De Pássaros - Edição Especial;Josh Malerman;9788551004937;320;2019;Ficção Geral
Noite em Caracas;Karina Sainz Borgo;9788551005026;240;2019;Ficção Geral
Este é o mar;Mariana Enriquez;9788551005002;176;2019;Ficção Geral
Ponti;Sharlene Teo;9788551004821;272;2019;Ficção Geral
130 anos: Em busca da República;Alexandre de Moraes;9788551004968;256;2019;Ficção Geral
Daqui Pra Baixo;Jason Reynolds;9788551004982;320;2019;Ficção Geral
As Férias da Minha Vida;Clara Savelli;9788551005170;336;2019;Ficção Geral
Bird Box: Caixa de Pássaros;Josh Malerman;9788551004920;320;2019;Ficção Geral
O Labirinto do Fauno;Cornelia Maria Funke;9788551005194;320;2019;Ficção Geral
Medicina dos Horrores;Lindsey Fitzharris;9788551005224;320;2019;Horror
Mundo Em Caos (Vol. 1);Patrick Ness;9788551004517;0;2019;Ficção Geral
O desaparecimento de Josef Mengele; Olivier Guez;9788551004708;224;2019;Ficção Geral
Pátria;Fernando Aramburu;9788551004234;512;2019;Ficção Geral
Pátria;Fernando Aramburu;9788551004944;512;2019;Ficção Geral
O Caso Da Mansão Deboën;Edgar Cantero;9788551004197;354;2019;Ficção Geral
Contato de Emergência;Mary H.K. Choi;9788551005323;336;2019;Ficção Geral
Daqui Pra Baixo;Jason Reynolds;9788551004982;320;2019;Ficção Geral
Teto Para Dois;Beth O'Leary;9788551005415;400;2019;Ficção Geral
E Se Fosse A Gente?;Becky Albertalli;9788551004890;352;2019;Ficção Geral
Caçadores de Nazistas;Andrew Nagorski;9788551003299;432;2019;Ficção Geral
Pare Com Essa Merda;Gary John Bishop;9788551005248;208;2019;Ficção Geral
Inspeção;Josh Malerman;9788551005262;416;2019;Ficção Geral
Serpentário;Felipe Castilho;9788551005309;368;2019;Ficção Geral
Rede de Sussurros;Chandler Baker;9788551005286;384;2019;Ficção Geral
Agassi;Andre Agassi;9788551005392;448;2019;Ficção Geral
A Sutil Arte de Ligar o F*da-se;Manson Mark;9788551004333;158;2019;Ficção Geral
O Construtor de Pontes;Markus Zusak;9788551003992;572;2019;Ficção Geral
Medicina Dos Horrores;Lindsey Fitzharris;9788551005231;320;2019;Horror
Um Caminho Para a Liberdade;Jojo Moyes;9788551005453;368;2019;Distopia
Cem;Valerio Vidali;9788551005439;208;2019;Ficção Geral
Cova 312;Daniela Arbex;9788551005569;336;2019;Ficção Geral
Histórias das Histórias que Contei;Vinícius Dônola;9788551005583;328;2019;Ficção Histórica
A Tumba do Tirano;Rick Riordan;9788551005347;368;2019;Ficção Geral
Recursão;Blake Crouch;9788551005361;320;2019;Ficção Geral
Matadouro-Cinco;Kurt Vonnegut;9788551004609;0;2019;Ficção Geral
Rede de Sussurros;Chandler Baker;9788551005286;384;2019;Ficção Geral
Tim Cook: O Gênio que Mudou o Futuro da Apple;Leander Kahney;9788551005538;336;2019;Ficção Científica
Me Encontre; André Aciman;9788551005828;272;2019;Ficção Geral
Um Caminho Para a Liberdade;Jojo Moyes;9788551005453;368;2019;Distopia
Descender: Estrelas de Lata;Jeff Lemire;9788551005798;144;2019;Ficção Geral
Ada Batista, Cientista;Andrea Beaty;9788551005477;32;2019;Ficção Geral
Café Da Manhã Dos Campeões;Kurt Vonnegut;9788551005804;400;2019;Ficção Geral
A Quietude É A Chave;Ryan Holiday;9788551005767;288;2019;Ficção Geral
Segredo De Justiça;Andréa Pachá;9788551006115;256;2019;Suspense/Thriller
Rita Bandeira, Engenheira;Andrea Beaty;9788551005491;32;2019;Ficção Geral
Sofia Pimenta, Futura Presidenta;Andrea Beaty;9788551005699;40;2019;Ficção Geral
Paulo Roberto, Arquiteto;Andrea Beaty;9788551005514;32;2019;Ficção Geral
Quem é você, Alasca?;John Green;9788580576832;336;2019;Ficção Geral
Os Segredos que Guardamos;Lara Prescott;9788551005675;365;2019;Suspense/Thriller
Na Raça;Maria Luíza Filgueiras;9788551006054;240;2019;Ficção Geral
Descender: Estrelas De Lata;Jeff Lemire;9788551005781;144;2019;Ficção Geral
REDE DE SUSSURROS;Chandler Baker;9788551005293;384;2019;Ficção Geral
A Última Festa;Lucy Foley;9788551005729;304;2019;Ficção Geral
Colecao Jojo Moyes;Jojo Moyes;9788551005606;1040;2019;Ficção Geral
Pátria;Fernando Aramburu;9788551004951;512;2019;Ficção Geral
Pare Com Essa Merda: Acabe Com A Autossabotagem E Conquiste Sua Vida De Volta;Gary John Bishop;9788551005255;208;2019;Ficção Geral
Why Not: Como os irmãos Joesley e Wesley, da JBS, transformaram um açougue em Goiás na maior empresa de carnes do mundo;Raquel Landim;9788551004401;432;2019;Ficção Geral
O Labirinto Do Fauno;Guillermo del Toro;9788551005200;320;2019;Ficção Geral
Café Da Manhã Dos Campeões;Kurt Vonnegut;9788551005811;400;2019;Ficção Geral
Coleção Josh Malerman;;9788551005644;0;2019;Ficção Geral
Inspeção;Josh Malerman;9788551005279;416;2019;Ficção Geral
Teto Para Dois;Beth O'Leary;9788551005422;400;2019;Ficção Geral
Coleção R.J. Palácio;R.J. Palacio;9788551005354;0;2019;Ficção Geral
Os Heróis do Olimpo;Rick Riordan;nan;2708;2019;Ficção Geral
F*deu geral;Mark Manson;9788551005408;224;2019;Ficção Geral
O Labirinto de Fogo;Rick Riordan;9788551003312;368;2019;Ficção Geral
Um Lugar Bem Longe Daqui;Delia Owens;8551004867;336;2019;Ficção Geral
Cinquenta tons de liberdade: O capítulo final;E.L. James;9788551002766;544;2018;Distopia
Ainda Sou Eu;Jojo Moyes;9788551002810;400;2018;Ficção Geral
O Senhor do Caos;Robert Jordan;9788551002919;1072;2018;Ficção Geral
Mais escuro;E.L. James;9788551002834;496;2018;Ficção Geral
Me Chame Pelo Seu Nome; André Aciman;9788551002735;288;2018;Ficção Geral
Todo dia a mesma noite;Daniela Arbex;9788551002858;248;2018;Ficção Geral
Ainda Sou Eu;Jojo Moyes;9788551002827;400;2018;Ficção Geral
O método TB12;Tom Brady;9788551002872;320;2018;Ficção Geral
A Grande Jogada;Molly Bloom;9788551002896;272;2018;Ficção Geral
O Homem de Giz;C.J. Tudor;9788551002933;272;2018;Ficção Geral
A Forma da Água;Guillermo del Toro;9788551002773;352;2018;Ficção Geral
Mais Escuro (Grey Vol. 2);E L James;9788551002841;496;2018;Ficção Geral
Um Cavalheiro em Moscou;Amor Towles;9788551002711;464;2018;Romance
As Oito Montanhas; Paolo Cognetti;9788551002292;256;2018;Ficção Geral
TazerCraft;Gustavo Magnani;9788551002964;192;2018;Ficção Geral
Ferramentas Dos Titãs;Timothy Ferriss;9788551002513;768;2018;Ficção Geral
A Grande Jogada;Molly Bloom;9788551002902;258;2018;Ficção Geral
Aniquilação;Jeff VanderMeer;9788551002940;200;2018;Aventura
Me Chame Pelo Seu Nome; André Aciman;9788551002742;288;2018;Ficção Geral
Um cavalheiro em Moscou;Amor Towles;9788551002728;464;2018;Romance
Ikigai;Francesc Miralles;9788551002797;208;2018;Ficção Geral
Bruce Dickinson: Uma autobiografia;Bruce Dickinson;9788551003145;320;2018;Ficção Geral
Os distorcidos;Scott Cawthon;9788551003022;288;2018;Ficção Geral
Segredos do Acampamento Meio-Sangue;Rick Riordan;9788551002988;176;2018;Suspense/Thriller
Trilha sonora para o fim dos tempos;Anthony Marra;9788551003084;304;2018;Ficção Geral
Com Amor, Simon;Becky Albertalli;9788551003053;272;2018;Romance
O Labirinto de Fogo;Rick Riordan;9788551003312;368;2018;Ficção Geral
Estúpida, eu?;Camila Coutinho;9788551003176;176;2018;Ficção Geral
Deuses Americanos;Neil Gaiman;9788551003060;264;2018;Ficção Geral
Estúpida, eu?;Camila Coutinho;9788551003169;176;2018;Ficção Geral
Todas as Coisas Belas;Matthew Quick;9788551003008;272;2018;Ficção Geral
Nix;Nathan Hill;9788551003107;672;2018;Ficção Geral
Deuses Americanos;Neil Gaiman;nan;264;2018;Ficção Geral
No Tempo dos Feiticeiros;Cressida Cowell;9788551003206;400;2018;Ficção Geral
No Tempo dos Feiticeiros;Cressida Cowell;9788551003190;400;2018;Ficção Geral
Comer Para Não Morrer;Michael Greger;9788551001851;496;2018;Ficção Geral
Uma Vida No Escuro;;9788580578836;0;2018;Ficção Geral
Comer Para Não Morrer;Michael Greger;9788551001868;496;2018;Ficção Geral
Pequenos incêndios por toda parte; Celeste Ng;9788551003121;416;2018;Infantil
Tudo o que nunca contei; Celeste Ng;9788551003183;304;2018;Ficção Geral
Black Hammer;Jeff Lemire;9788551003374;184;2018;Ficção Geral
Passageiros do Tempo;Alexandra Bracken;9788551003442;384;2018;Ficção Geral
Logo, logo;Kelly Weinersmit;9788551003336;384;2018;Ficção Geral
A essência do mal;Luca D'Andrea;9788551002612;368;2018;Ficção Geral
Praia de Manhattan;Jennifer Egan;9788551003275;448;2018;Ficção Geral
O que Alice esqueceu;Liane Moriarty;9788551003466;416;2018;Ficção Geral
A princesa prometida;William Goldman;9788551003213;416;2018;Ficção Geral
Uma Casa No Fundo de Um Lago;Josh Malerman;9788551003855;160;2018;Ficção Geral
Mentes sombrias;Alexandra Bracken;9788551003831;384;2018;Ficção Geral
O lado bom da vida;Matthew Quick;9788580572780;256;2018;Ficção Geral
Refúgio no Sábado;Miriam Leitão;9788551003602;288;2018;Ficção Geral
Variações Enigma; André Aciman;9788551003527;320;2018;Ficção Geral
Leah Fora de Sintonia;Becky Albertalli;9788551003817;320;2018;Ficção Geral
A FORMA DA ÁGUA;Del Toro;9788551002780;352;2018;Ficção Geral
Princípios;Ray Dalio;9788551003411;592;2018;Ficção Geral
Uma certa ideia de Brasil;Pedro Malan;9788551003794;512;2018;Ficção Geral
O Homem de Giz;C.J. Tudor;9788551002957;272;2018;Ficção Geral
Mitologia Nórdica - Edição de Luxo;Neil Gaiman;9788551003664;288;2018;Fantasia
O novo poder;Henry Timms;9788551003770;336;2018;Ficção Geral
Princípios;Ray Dalio;9788551003428;592;2018;Ficção Geral
A Morte da verdade;Michiko Kakutani;9788551003862;272;2018;Ficção Geral
Esqueceram de Mim;Kim Smith;9788551003510;48;2018;Ficção Geral
De volta para o futuro;Kim Smith;9788551003497;48;2018;Ficção Científica
E.T. - O extraterrestre;Kim Smith;9788551003398;48;2018;Ficção Geral
Esqueceram de mim;Kim Smith;9788551003503;48;2018;Ficção Geral
Você foi enganado;Chico Otávio;9788551003879;288;2018;Ficção Geral
Leonardo da Vinci - Edição de Luxo;Walter Isaacson;9788551003046;640;2018;Ficção Geral
Por que nós dormimos; Matthew Walker;9788551003657;400;2018;Ficção Geral
A Morte da Verdade;Michiko Kakutani;9788551003640;272;2018;Ficção Geral
No Último Minuto;Alexandra Bracken;nan;103;2018;Ficção Geral
Mitologia Nórdica;Neil Gaiman;9788551003664;288;2018;Fantasia
De Volta Para o Futuro;Kim Smith;9788551003480;48;2018;Ficção Científica
Objetos Cortantes;Gillian Flynn;9788580576597;256;2018;Ficção Geral
Black Hammer;Jeff Lemire;9788551004036;176;2018;Ficção Geral
O Primeiro Homem;James R. Hansen;9788551003930;512;2018;Ficção Geral
Mapa dos Dias;Ransom Riggs;9788551003671;448;2018;Ficção Geral
Black Hammer;Jeff Lemire;9788551004036;176;2018;Ficção Geral
Black Hammer 2: O Evento + Pôsters;Jeff Lemire;9788551004036;176;2018;Ficção Geral
A Catedral do Mar;Ildefonso Falcones;9788551004296;576;2018;Ficção Geral
O Desaparecimento de Stephanie Mailer;Joël Dicker;9788551003893;576;2018;Ficção Geral
As Viúvas;Lynda La Plante;9788551003916;400;2018;Ficção Geral
Breves Respostas Para Grandes Questões;Stephen Hawking;9788551004319;256;2018;Ficção Geral
Dez argumentos para você deletar agora suas redes sociais;Jaron Lanier;9788551003954;192;2018;Ficção Geral
Velhos são os outros;Andréa Pachá;9788551004098;208;2018;Ficção Geral
Os Prós e os Contras de Nunca Esquecer;Val Emmich;9788551003619;318;2018;Ficção Geral
Refúgio no sábado;Míriam Leitão;nan;288;2018;Ficção Geral
Como mudar sua mente;Michael Pollan;9788551004166;480;2018;Ficção Geral
O Construtor de Pontes;Markus Zusak;9788551003985;528;2018;Ficção Geral
No último minuto;Alexandra Bracken;9788551004340;79;2018;Ficção Geral
No último minuto;Alexandra Bracken;9788551004340;79;2018;Ficção Geral
O caso da mansão Deboën;Edgar Cantero;9788551004067;352;2018;Ficção Geral
Kit Livros Isabela Fretas - Não Se Apega não/Não se Iluda não/ Não se Enrola não;Isabela Freitas;9788551004548;0;2018;Ficção Geral
Pequenos incêndios por toda parte; Celeste Ng;9788551003138;416;2018;Infantil
SHANTALA;Ludmila Monteiro;nan;62;2018;Ficção Geral
Tartarugas até lá embaixo;John Green;9788551001134;208;2018;Ficção Geral
Dez argumentos para você deletar agora suas redes sociais;Jaron Lanier;9788551003961;145;2018;Ficção Geral
What If It's Us;Becky Albertalli;9780062795250;448;2018;Ficção Geral
DUPLICADO Por que nós dormimos; Matthew Walker;nan;412;2018;Ficção Geral
Ferramentas dos Titãs;Tim Ferriss;9788551002520;768;2018;Ficção Geral
As oito montanhas;Paolo Cognetti;9788551002285;256;2018;Ficção Geral
Em busca de abrigo;Jojo Moyes;9788580579949;256;2018;Ficção Geral
MITOLOGIA NÓRDICA;Neil Gaiman;9788551003558;288;2018;Fantasia
A Viúva; Fiona Barton;9788551001028;304;2018;Ficção Geral
Paris para um e outros contos;Jojo Moyes;9788580579727;240;2017;Ficção Geral
O Livro dos Baltimore;Joël Dicker;9788580579765;416;2017;Ficção Geral
Aconteceu naquele verão;Stephanie Perkins;9788551001158;384;2017;Ficção Geral
Como combater a fúria de um dragão;Cressida Cowell;9788551001172;496;2017;Fantasia
Buracos negros;Stephen Hawking;9788551000984;64;2017;Ficção Geral
Meu menino vadio;Luiz Fernando Vianna;9788551000946;208;2017;Ficção Geral
Cinquenta Tons Mais Escuros;E.L. James;9788551001080;512;2017;Ficção Geral
Regras simples;Donald Sull e Kathleen M. Eisenhardt;9788551001042;352;2017;Ficção Geral
A batalha por WondLa;Tony DiTerlizzi;9788551001189;400;2017;Ficção Geral
Antes que eu vá;Lauren Oliver;9788551001011;352;2017;Ficção Geral
Cinquenta Tons Mais Escuros;E.L. James;9788551001318;617;2017;Ficção Geral
A longa caminhada de Billy Lynn;Ben Fountain;9788551000205;304;2017;Ficção Geral
Como Combater a Fúria de Um Dragão;Cressida Cowell;9788551001172;496;2017;Fantasia
A Viúva; Fiona Barton;9788551001028;304;2017;Ficção Geral
A verdade é teimosa;Miriam Leitão;9788551001264;383;2017;Ficção Geral
Matéria Escura;Blake Crouch;9788551001226;352;2017;Ficção Geral
Às urnas, cidadãos!;Thomas Piketty;9788551000144;192;2017;Ficção Geral
Eu e você no fim do mundo;Siobhan Vivian;9788551001240;368;2017;Ficção Geral
Pequenas Grandes Mentiras;Liane Moriarty;9788551001578;400;2017;Ficção Geral
Vovô deu no pé;David Walliams;9788551001653;464;2017;Ficção Geral
Os Irmãos Tapper Detonam Nova York;Geoff Rodkey;9788551001585;300;2017;Ficção Geral
Somos Todos Extraordinários;R. J. Palacio;9788551001622;32;2017;Ficção Geral
Eu Sei Onde Você Está;Claire Kendal;9788551001547;304;2017;Ficção Geral
O Jantar;Herman Koch;9788551001561;300;2017;Ficção Geral
O Jantar;Herman Koch;9788551001431;300;2017;Ficção Geral
Somos Guerreiras;Glennon Doyle Melton;9788551001493;320;2017;Ficção Geral
Quem era ela;JP Delaney;9788551001394;336;2017;Ficção Geral
Dias Bárbaros;William Finnegan;9788551001479;432;2017;Ficção Geral
Um Amor Incômodo;Elena Ferrante;9788551001370;176;2017;Romance
Mitologia Nórdica;Neil Gaiman;9788551001288;288;2017;Fantasia
A Garota Que Você Deixou Para Trás;Jojo Moyes;9788580579772;317;2017;Ficção Geral
Tudo o que nunca contei; Celeste Ng;9788580579741;304;2017;Ficção Geral
Olhos Prateados;Scott Cawthon;9788551001462;368;2017;Ficção Geral
Quatro estações em Roma;Anthony Doerr;9788551000342;240;2017;Ficção Geral
Todo amor tem segredos;Viih Tube;9788551001325;160;2017;Romance
Os irmãos Tapper detonam Nova York;Geoff Rodkey;9788551001301;288;2017;Ficção Geral
Lua Azul - Coleção Os Imortais;Alyson Noël;9788580573398;256;2017;Ficção Geral
Até Que a Culpa Nos Separe;Liane Moriarty;9788551001912;464;2017;Ficção Geral
Até Que a Culpa Nos Separe;Liane Moriarty;9788551001929;464;2017;Ficção Geral
Deixei Você Ir;Clare Mackintosh;9788551001752;368;2017;Ficção Geral
Deixei Você Ir (e-Book);Clare Mackintosh;9788551001769;368;2017;Ficção Geral
